X,Yaw_0.0,Yaw_-0.5,Yaw_-1.0,Yaw_-1.5,Yaw_-2.0,Yaw_-2.5,Yaw_0.5,Yaw_1.0,Yaw_1.5,Yaw_2.0,Yaw_2.5
-59.130434783,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-58.550724638,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-57.971014493,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-57.391304348,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-56.811594203,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-56.231884058,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-55.652173913,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-55.072463768,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-54.492753623,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-53.913043478,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-53.333333333,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-52.753623188,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-52.173913043,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-51.594202899,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-51.014492754,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-50.434782609,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-49.855072464,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-49.275362319,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-48.695652174,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-48.115942029,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-47.536231884,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-46.956521739,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-46.376811594,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-45.797101449,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-45.217391304,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-44.637681159,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-44.057971014,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-43.47826087,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-42.898550725,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07,3.683855062062467e-07
-42.31884058,0.00029402632870266564,0.0002924906025328282,0.00028765792001324167,0.00027967542853074166,0.00026878334037179204,0.0002553029470929385,0.0002922199040974061,0.0002871250611092723,0.00027889646865542767,0.0002677811901737905,0.0002541061719956618
-41.739130435,0.00010897752845856494,0.00010847822557515575,0.00010674040730837263,0.00010381710616152956,9.979759842736634e-05,9.480129217839104e-05,0.00010822353404103947,0.00010623885821035163,0.00010308428590271715,9.885448873318284e-05,9.367425112324809e-05
-41.15942029,3.0350094583255588e-05,3.0346467443269138e-05,3.0020926841844156e-05,2.9382573725693423e-05,2.8450694132426905e-05,2.7252067386485927e-05,3.0031737375582764e-05,2.940072152865042e-05,2.8475688138173615e-05,2.7282773844448167e-05,2.5855298434604735e-05
-40.579710145,0.00021587141818758628,0.00021496537298902897,0.00021173886913876833,0.00020628758047707934,0.00019877180464986525,0.00018940902051568009,0.0002144305611187367,0.00021068473288480863,0.0002047445094027577,0.0001967840242614975,0.00018703204742381187
-40.0,0.0007776776864399029,0.0007738665263387555,0.0007615368326319158,0.000741059578721059,0.0007130419062655982,0.0006783021056148943,0.0007728584049619801,0.0007595501959424258,0.0007381504414110346,0.0007092951263410894,0.0006738247290435338
